School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1
I.S. 328 - MANHATTAN,M,6,SCIENCE LAB UPGRADES / PATH OF TRAVEL SCIENCE LAB UPGRADE,1480016,CIP,M164,401 WEST 164 STREET,Manhattan,10029,MANHATTAN,40.792122,-73.951961,111,8,1051497,1016090007,168,MN1101,"(40.792122, -73.951961)"
P.S. 53 - BRONX,X,9,STH- SBHC,2995000,CIP,X053,360 EAST 168 STREET,Bronx,10455,BRONX,40.814031,-73.900609,202,17,2005089,2026830065,83,BX0202,"(40.814031, -73.900609)"
P.S. 95 - QUEENS,Q,29,EXISTING BUILDING/ELECTRICAL SYSTEMS UPGRADE / EXISTING BUILDING/IPDVS / EXISTING BUILDING/FIRE ALARM REPLACEMENT / EXISTING BUILDING-KITCHEN RENOVATION,5879602,CIP,Q095,179-01 90 AVENUE,Queens,11363,QUEENS,40.769271,-73.749369,411,19,4168629,4080820285,1483,QN1103,"(40.769271, -73.749369)"
G MCCOWN EXPEDITIONARY LRNG SCL- R,R,31,FY20 RESO A LIBRARY UPGRADE / FY21 RESO A SCIENCE LAB UPGRADES,1471000,CIP,R043,100 ESSEX DRIVE,Staten Island,10305,STATEN IS,40.582744,-74.088509,502,50,5053746,5037050001,11201,SI0202,"(40.582744, -74.088509)"
P.S. 12 - BROOKLYN,K,23,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / FENCING,13700000,CIP,K012,430 HOWARD AVENUE,Brooklyn,11235,BROOKLYN,40.593521,-73.937672,315,48,3203617,3074240001,596,BK1503,"(40.593521, -73.937672)"
BRONX ALLIANCE MIDDLE SCHOOL,X,11,FY24 RESO A GYMNASIUM UPGRADE / PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,1676000,CIP,X142,3750 BAYCHESTER AVENUE,Bronx,10456,BRONX,40.825025,-73.906143,203,17,2004498,2026320027,18502,BX0301,"(40.825025, -73.906143)"
MARTIN VAN BUREN HS - QUEENS,Q,26,LSP- DOMESTIC WATER HEATER,283150,CIP,Q435,230-17 HILLSIDE AVENUE,Queens,11101,QUEENS,40.751356,-73.937445,401,26,4004874,4004040001,3301,QN0105,"(40.751356, -73.937445)"
P.S. 76 - QUEENS,Q,30,RETAINING WALL,398000,CIP,Q076,36-36 10 STREET,Queens,11434,QUEENS,40.67282,-73.769252,412,28,4270056,4124950166,33405,QN1204,"(40.67282, -73.769252)"
I.S. 562 - BRONX,X,8,FY23 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,424999,CIP,X125,1111 PUGSLEY AVENUE,Bronx,10455,BRONX,40.817721,-73.902421,202,17,2005168,2026880001,85,BX0202,"(40.817721, -73.902421)"
K721 SPED - BROOKLYN,K,21,FIRE ALARM SYSTEM REPLACEMENT,2268000,CIP,K722,64 AVENUE X,Brooklyn,11201,BROOKLYN,40.692012,-73.991227,302,33,3002557,3002660020,9,BK0201,"(40.692012, -73.991227)"
P.S. 106 - BROOKLYN,K,32,LSP DOMESTIC WATER HEATER,207825,CIP,K106,1328 PUTNAM AVENUE,Brooklyn,11228,BROOKLYN,40.61978,-74.000792,311,38,3157760,3061800001,190,BK1101,"(40.61978, -74.000792)"
